,terminal_group_1,terminal_group_2,terminal_group_3,backbone,frac-1,frac-2,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min,COF-std,intercept-std
2174,fluorophenyl,perfluoromethyl,cyclopropyl,alkylsilane,0.5,0.5,0.1419832529,19.915500000000005,18.398,0.1925509608,0.107669877,3.4706495,3.090735,210.61526425,197.587975,17,9.7410255,9.482051,9.00296425,8.005928499999998,2.50296425,2.0,4.9813565,4.962713,4.438982250000001,3.877964500000001,1.1889822500000002,1.0,0.73418525,0.625,0.73418525,0.625,0.2736227499999999,0.25,0.2736227499999999,0.25,0.0899364999999999,0.03125,0.0899364999999999,0.03125,30.5,24.0,0.8412137077,0.783353997,0.0,-0.265,-0.5300000000000001,0.9155415,0.1481479999999999,0.8319584999999999,0.222222,6.582881749999999,0.0,0.9893882483833332,441.5149065,254.458072,0.01759783,0.009410469,41.437101250000005,38.06801000000001,1.63383,1.4163,70.04475000000001,48.04399999999999,76.54926575,56.0626,5.25,4.0,0.5203568385,0.419165564,0.6316297432,0.6254684825,0.43396308,0.2418588189999999,46.93615032899999,24.737038525,75.620850286,25.38398518,115.2473313435,39.79932295700001,0.75,0.5,1.2470936275,1.0336369239999998,0.3260097499999999,0.144378,0.3456829999999999,0.300983,0.5773906560000001,0.398629744,0.0,0.0,13.621283500000002,10.966068,26.28251975,25.491700000000005,0.929595,0.85919,0.63990525,0.5805984999999999,0.01946525,0.0,0.36009475,0.300788,0.05093975,0.0,37.26212475,36.457768,1.54407475,0.0,1.09760375,0.0,0.070405,0.0,0.0085207572234447,0.3623539223009871
2287,hydroxyl,isopropyl,nitrophenyl,alkylsilane,0.5,0.5,0.1420089893166666,26.0804,14.3274,0.4170369835,0.377042713,4.0643235,3.773039,284.2096985,101.448216,17,11.07250275,8.603553500000002,10.108917,8.454124,3.108917,1.454124,5.87072,4.15533,4.8849705000000005,3.931186,1.4079084999999998,0.477062,0.8341085,0.1875,0.8341085,0.1875,0.3971889999999999,0.0,0.3971889999999999,0.0,0.1985944999999999,0.0,0.1985944999999999,0.0,36.0,20.0,0.9639332205,0.956445648,2.0,-0.7000000000000001,-1.38,1.0784885,0.0602,-5.130333,-12.519999999999998,-25.383584,-52.02,1.6799849665833333,1524.554961,162.122654,0.3130526545,0.006066451,49.42301175,30.5619095,1.26931,0.6354000000000001,84.0545,38.027,91.04995525,45.0522325,6.5,3.0,0.264079396,0.237330347,0.7737141715,0.762669653,0.1322186728,9.116e-06,67.4765562985,9.212574189,216.661817682,29.201099563000003,281.6793680817,33.4956620365,1.25,0.5,1.4335393888,0.7924945185,0.3507612500000001,0.3238005,0.4973065,0.36279,0.1196898765,0.0,26.6275,10.115,22.7176755,13.144507000000004,25.19686,15.779221,0.789486,0.76382,0.49554375,0.4737225,0.14778525,0.1443965,0.50445625,0.482635,0.06272875,0.0404515,38.3786815,25.653724,3.201493,0.7156000000000001,6.334361,2.554404,0.2105139999999999,0.1848479999999999,0.0104668411354385,0.3507204571771245
1956,ethylene,perfluoromethyl,difluoromethyl,alkylsilane,0.5,0.5,0.1420098281333333,12.739000000000004,11.678,0.4624798788,0.3779176364999999,4.115173,4.020392,81.81937475,67.01955,17,7.16367525,7.0,6.03643775,5.755929000000001,1.7864377500000004,1.755929,3.4010147500000003,3.25,2.7682187499999995,2.627964,0.6432187500000001,0.627964,0.28589525,0.260411,0.28589525,0.260411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,25.0,0.9489996285,0.915083054,0.0,-0.1875,-0.235,0.8561027499999999,0.664075,1.4021057500000005,0.9442115,5.736449,1.86,0.7535268260499999,28.497122,21.306059,0.1035577882,0.083624476,29.7838395,29.055146000000004,1.325925,1.2714,60.27125,58.5245,64.53046225000001,63.0328175,4.0,4.0,0.2692906405,0.183916816,0.7819428555,0.6899695840000001,0.3121932235,0.241860256,18.9512177598,10.460855947,42.3431027708,34.9557633145,57.5004497238,56.901194381,0.75,0.5,1.0405153057999998,1.0202054374999998,0.5219917499999999,0.4904155,0.43649025,0.3771775,0.5913622910000002,0.398629749,0.0,0.0,12.28352025,11.884530999999996,15.967923,15.632722,0.67319125,0.448262,0.5683474999999999,0.5681060000000001,0.1595514999999999,0.0,0.4316525,0.4314109999999999,0.16725775,0.1018795,19.116205500000003,12.334927,4.74482275,3.0881495,4.390415,0.0,0.32680875,0.1018795,0.0070957162393527,0.2994274454977691
3063,nitrophenyl,perfluoromethyl,cyclopropyl,alkylsilane,0.5,0.5,0.14201424185,21.5896,18.398,0.215703308,0.107669877,3.49372525,3.090735,232.4142265,197.587975,17,10.135363,10.0,9.22440075,8.4488015,2.7244007500000005,2.0,5.2090275,5.0,4.538925499999999,4.077851,1.2889254999999995,1.0,0.807119,0.625,0.807119,0.625,0.3235945,0.25,0.3235945,0.25,0.11492225,0.03125,0.11492225,0.03125,33.0,24.0,0.8459711798000001,0.783353997,0.0,-0.3975,-0.795,1.11173125,0.1481479999999999,0.96305025,0.222222,6.6461955,0.0,0.6021627421,854.3023677500001,254.458072,0.01711317,0.008441149,44.05896125,38.06801000000001,1.576105,1.4163,76.7965,48.04399999999999,83.29789074999998,56.0626,5.75,4.0,0.5034877162,0.3854273195,0.6484988655,0.637791004,0.4339636648000001,0.2418599884999999,56.65141224900001,24.737038525,127.1062454322,25.38398518,176.44798839069998,39.79932295700001,1.0,1.0,1.3351775572,1.0336369239999998,0.35412525,0.144378,0.32452225,0.300983,0.5773906560000001,0.398629744,10.784999999999998,0.0,17.84086175,10.966068,24.692286,23.892872,0.8900152500000001,0.7800305,0.587579,0.475946,0.0377935,0.0,0.412421,0.300788,0.07219125,0.0,37.038647,36.457768,2.9659212500000005,0.0,2.5285795,0.0,0.10998475,0.0,0.0148680399930244,0.1455608792428177
3175,perfluoromethyl,phenol,toluene,alkylsilane,0.5,0.5,0.1420215499166666,29.1012,22.2864,0.3135598605,0.275169371,3.8160695000000007,3.785534,318.5285334999999,230.940191,17,12.149853,9.835604000000002,11.260535250000002,8.5210705,3.51053525,3.0210705,6.559233249999999,5.2317155,5.544829749999999,4.0896595,1.69276775,1.3855354999999998,1.05047075,0.8509414999999999,1.05047075,0.8509414999999999,0.4630154999999999,0.301031,0.4630154999999999,0.301031,0.23150775,0.1505155,0.23150775,0.1505155,39.5,37.0,0.9242145715000002,0.898628079,0.0,-0.6875,-0.7800000000000001,1.1950515,0.83817,1.5902977499999995,1.3973095000000002,7.08438425,1.038264,1.3957884743666666,2363.2117727500004,1053.2781705,0.0086611565,0.007890949,55.038677,45.866362,1.969025,1.63461,93.317,90.546,101.058175,96.0381,7.25,6.5,0.3666825885,0.312809069,0.6625796868,0.6263611815,0.2194344348,0.137939083,78.7979494663,69.0169025805,161.4200789225,124.943023713,236.104209425,189.019298585,1.5,1.0,1.6118316339999998,1.465467207,0.360052,0.1496549999999999,0.323337,0.141289,0.2360101938,0.062231918,5.0575,0.0,15.33291475,13.707585,38.216449,27.432536,0.921097,0.842194,0.6776055,0.573805,0.02184375,0.0,0.3223945,0.2185939999999999,0.05705925,0.0,50.370287,38.032627,1.9018747500000004,0.0,1.277202,0.0,0.078903,0.0,0.0104076541226735,0.5245911022068507
1515,cyclopropyl,phenyl,hydroxyl,alkylsilane,0.5,0.5,0.14204274785,16.46565,8.1428,0.270731305,0.1790010239999999,3.27711275,3.16849,161.90518225000002,37.302969,17,8.094578999999998,5.207107,7.829124,4.908248,1.829124,0.908248,4.1991865,2.56066,3.743686,2.112372,0.789562,0.204124,0.40625,0.0,0.40625,0.0,0.1875,0.0,0.1875,0.0,0.0703125,0.0,0.0703125,0.0,22.0,14.0,0.8894282045,0.8274537590000001,0.0,-0.215,-0.39,0.22184475,0.0004,-13.063002249999998,-27.04,-51.87440025,-104.04,1.21655720865,378.65627225,12.164797,0.6033432715,0.015876288,32.89604825,19.240037,0.6570800000000001,-0.3915,47.03525,28.01,53.0444075,32.026215,3.75,2.0,0.431610983,0.30730861,0.6332237962000001,0.5737562025000001,0.156518566,0.0,27.8347015517,0.5849326450000002,29.209938713500005,1.318487071,54.464215072,1.903419701,1.0,1.0,0.7943225822000001,0.3250475129999999,0.3378805,0.151202,0.61456225,0.2291244999999999,0.189037892,0.0,10.115,0.0,11.77374825,10.9660685,19.58418825,5.108808,0.815152,0.6303039999999999,0.5180454999999999,0.288793,0.1443965,0.0,0.4819545,0.252702,0.0404515,0.0,28.0879325,11.150228,0.7156000000000001,0.0,2.554404,0.0,0.1848479999999999,0.0,0.0082805629024469,0.4597897934557635
2662,methoxy,methyl,phenol,alkylsilane,0.5,0.5,0.1420628321666666,22.49215,12.1405,0.3123579825,0.264819447,3.7781115,3.672818,231.6156055,68.86060399999998,17,10.01238075,7.353553500000001,9.556186,7.204124,2.556186,1.204124,5.345992250000001,3.4785535,4.595748,3.329124,1.141624,0.3291239999999999,0.6275775,0.051031,0.6275775,0.051031,0.301031,0.0,0.301031,0.0,0.1505155,0.0,0.1505155,0.0,29.5,17.0,0.7933904205000001,0.635280615,1.0,-0.5,-0.98,0.5433629999999999,0.036712,1.063098,0.48,-6.2954705,-13.519999999999998,2.360833247,1054.8105909999997,24.3709,0.1399649665,0.008046881,43.00390075000001,26.0907885,1.17251,0.6444000000000001,66.04875,32.0215,73.05096125,38.0444075,5.25,2.5,0.4420319411999999,0.3075879239999999,0.834436299,0.6969785620000001,0.2582300177999999,0.118148712,45.1353561688,3.6279407145,103.94954517179998,11.5475184855,146.83219210819996,11.9560205685,1.75,1.5,1.212705179,0.6933280660000002,0.2712354999999999,0.1515959999999999,0.7137184999999998,0.677437,0.3905115158,0.022317451,12.4225,4.615000000000001,16.01926275,15.2625035,25.45707525,9.2203235,0.9002742499999999,0.8881469999999999,0.5565745,0.400066,0.08748675,0.087375,0.4434255,0.2869169999999999,0.012239,0.0,37.02211825,22.1143955,0.7156000000000001,0.0,3.73861975,2.3684315,0.09972575,0.0875985,0.007477781026359,0.3513243174733257
2522,isopropyl,nitro,nitro,alkylsilane,0.5,0.5,0.1420708254833333,14.8168,12.9184,0.6614287552000001,0.5714937835000001,4.229019999999999,3.791118,105.46780725,85.425922,17,7.558012500000001,6.07735,6.5727825,4.76371,1.8227825,1.76371,3.645032,2.943376,3.0040662500000006,2.0887549999999995,0.62906625,0.588755,0.2865824999999999,0.25711,0.2865824999999999,0.25711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.0,0.9872225358,0.9786445725,0.0,-0.45,-0.6000000000000001,1.83,1.26,1.55,1.4,1.05,0.7000000000000001,1.5851233185666669,90.83475225,17.086165999999995,0.1775101357,0.1347625775,31.176299,27.607138,0.33525,-0.1070999999999999,55.523,53.03,60.281846,59.54731400000001,4.0,4.0,0.13703183,0.09125968,0.9007617375,0.892783155,0.1322141148,0.0,7.570462106,4.147210897,45.2759996583,41.340095526,50.387455896,45.487306404,0.75,0.5,1.060736943,0.994335416,0.305454,0.24465,0.4409114999999999,0.3818229999999999,0.1196898765,0.0,32.355,21.57,15.435457,14.8595,14.198147,10.114318,0.709645,0.6128600000000001,0.455018,0.38714,0.290355,0.19357,0.544982,0.4771039999999999,0.0,0.0,22.0478655,16.011414,0.0,0.0,7.585738499999999,5.057159,0.290355,0.19357,0.012082249215317,0.4603384347526704
1754,difluoromethyl,phenyl,acetyl,alkylsilane,0.5,0.5,0.1420780202666667,18.89175,16.355,0.482686231,0.398687146,4.1247775,3.850564,172.6377755,124.052368,17,9.029700500000002,8.577349999999997,8.26810625,7.908248,2.26810625,1.908248,4.558706999999999,4.154701,3.946553,3.704124,0.946553,0.7041240000000001,0.47966475,0.3291239999999999,0.47966475,0.3291239999999999,0.125,0.0,0.125,0.0,0.0625,0.0,0.0625,0.0,27.5,24.0,0.9559541805,0.927234862,0.0,-0.395,-0.46,0.466437,0.231621,1.7014422499999995,1.67,1.4455997499999995,1.2211995,1.2067066863166669,346.0757745,63.57980800000001,0.0699060133,0.0447959305,38.05305375,34.06047999999999,1.114255,0.5953,62.539750000000005,52.03199999999999,68.54360925000002,58.04186500000001,4.75,4.0,0.2556038538,0.17411,0.7897914500000001,0.6918187640000001,0.2423159415,0.191266557,28.6554259907,9.364472812,58.5354379018,47.796256924,84.703595567,53.831244979,1.5,1.0,1.1997723728,1.1223529689999998,0.380077,0.355797,0.64417425,0.3265345,0.3787134608,0.365379505,8.534999999999998,0.0,12.716548,11.4253,23.81420025,18.498321,0.7883174999999999,0.724131,0.6254084999999999,0.5690720000000001,0.15352375,0.147496,0.3745914999999999,0.318255,0.0581589999999999,0.0,30.33789825,27.71158,1.6003740000000002,0.0,4.592475999999999,4.390415,0.2116825,0.147496,0.0120164628916259,0.2980784552377314
2212,fluorophenyl,phenyl,cyclopropyl,alkylsilane,0.5,0.5,0.1420895250833333,24.777999999999995,18.398,0.2075234475,0.107669877,3.3857355,3.090735,287.5945245,197.587975,17,10.982051,10.0,10.594491,10.0,2.844491,2.0,5.837713,5.0,5.2972455,5.0,1.4222455,1.0,0.8597454999999999,0.625,0.8597454999999999,0.625,0.3986227499999999,0.25,0.3986227499999999,0.25,0.1524365,0.03125,0.1524365,0.03125,31.5,24.0,0.8476631050000002,0.783353997,0.0,-0.4075,-0.8150000000000001,0.58668625,0.1481479999999999,0.946295,0.222222,0.3954939999999999,0.0,0.6117817208166666,745.1477475,254.458072,0.0163857145,0.006986238,47.24220075,38.06801000000001,1.740435,1.4163,70.81,48.04399999999999,78.5602445,56.0626,5.75,4.0,0.5095454152,0.3975427175,0.6201241432,0.6024572825,0.3130370955,6.850000000000001e-06,55.446367542500006,24.737038525,84.441930277,25.38398518,134.7274474452,39.79932295700001,1.0,1.0,1.3207701916999997,1.0336369239999998,0.1780105,0.144378,0.30166625,0.300983,0.378075784,0.0,0.0,0.0,12.077684,10.966068,33.64656775,25.491700000000005,0.98053475,0.9610695,0.7301194999999999,0.6992120000000001,0.01946525,0.0,0.2698804999999999,0.238973,0.0,0.0,44.626648,36.457768,0.0,0.0,1.09760375,0.0,0.01946525,0.0,0.013049738525557,0.178321567018211
830,carboxyl,methoxy,carboxyl,alkylsilane,0.5,0.5,0.1420980867166666,13.2156,13.1214,0.6144240215,0.585905776,3.804138000000001,3.784898,90.07910175,85.4565455,17,7.0151195,6.784457000000001,6.21443475,5.816496999999999,1.7144347500000003,1.6123725,3.53781175,3.48138,2.77693475,2.566497,0.5957479999999999,0.5332479999999999,0.24110825,0.1947595,0.24110825,0.1947595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,0.9879096292,0.9854118455,3.5,-0.4075,-0.5300000000000001,0.3508115,0.258349,1.3425,1.215,-5.6575,-12.784999999999998,4.88244921895,33.59446725,31.541558500000004,0.1542135135,0.12620248,29.486766,29.207031,0.133825,0.0909,52.02025,48.0205,56.52631300000001,53.031497,3.75,3.5,0.1526135357,0.137858338,0.9025212942,0.882196358,0.2060680033,0.15909481,6.2756314133,5.5327420365,38.6643248278,32.37780965550001,43.35054222050001,35.75214833500001,1.25,1.0,1.0011242718,0.9448930205,0.34024225,0.2723365,0.74175775,0.655677,0.199165552,0.078576664,30.2825,23.265,19.34861875,18.364673,8.6117245,7.320104,0.4970994999999999,0.3878649999999999,0.306552,0.262767,0.306552,0.262767,0.693448,0.649663,0.1963485,0.130899,13.798239999999998,10.964168,5.55037875,3.7002525,8.6117245,7.320104,0.5029005,0.393666,0.0047636469924542,0.5067558988251611
785,carboxyl,fluorophenyl,perfluoromethyl,alkylsilane,0.5,0.5,0.14212637268,16.9762,11.729,0.347062145,0.190442224,3.8862245,3.752057,152.374135,67.509775,17,8.18713975,7.0,6.74056175,5.133893,2.49056175,2.133893,4.1642015,3.25,3.15984325,2.316947,1.057781,0.8169470000000001,0.61798925,0.4977589999999999,0.61798925,0.4977589999999999,0.14862275,0.0,0.14862275,0.0,0.0743115,0.0,0.0743115,0.0,32.5,32.0,0.9085775455,0.8457559320000001,0.0,-0.45,-0.6900000000000001,1.465749,0.877646,1.37545325,1.148423,13.283369249999998,1.2347885,0.73131932728,328.52422925,21.306059,0.0389598162,0.010815847,37.79864925,31.815711,1.340555,1.11251,80.28175,79.5475,84.52791925,84.018685,5.5,5.0,0.3774284395,0.221332587,0.6722192810000001,0.555743801,0.2816308272,0.0795507935,49.1700196485,46.949005759,87.550186588,53.53447556799999,132.167462272,96.330233522,0.5,0.0,1.2943270768,1.198852122,0.5433635,0.336704,0.4424439999999999,0.333333,0.41827391,0.039288332,9.325,0.0,17.0145345,16.888602,19.30531725,13.171245000000004,0.7256214999999999,0.655002,0.4865152499999999,0.434527,0.1070494999999999,0.0,0.51348475,0.4614965,0.167329,0.130899,27.808136,24.135413,4.93827575,3.7002525,3.57344,0.0,0.2743784999999999,0.2037589999999999,0.0071245621690136,0.4498232022137827
2525,isopropyl,nitro,phenol,alkylsilane,0.5,0.5,0.1421402116,24.7795,16.7152,0.4656951508,0.359896518,4.16987,3.672818,259.94014975,125.5096925,17,10.8549415,9.038675,10.1450515,8.381855,2.895051500000001,1.881855,5.7800595,4.346688,4.890874750000001,3.9193775,1.31175075,0.6693775,0.7600895,0.316055,0.7600895,0.316055,0.301031,0.0,0.301031,0.0,0.1505155,0.0,0.1505155,0.0,33.5,25.0,0.9650723992,0.9515002260000002,1.0,-0.64,-0.98,1.1550069999999997,1.050014,1.6730979999999998,1.646196,0.8145295,0.7000000000000001,2.40926208885,1124.91681025,164.5833385,0.0714047292,0.008046881,47.3312365,34.74546,1.23911,0.7776000000000001,76.553,53.03,83.8024145,59.54731400000001,6.0,4.0,0.245195952,0.18280398,0.7948808585,0.6969785620000001,0.1912884708,0.118148712,48.81824246899999,10.993713315,122.78173782429998,49.2119037905,168.49798451800004,55.287605388,1.25,0.5,1.429610381,1.12713847,0.3177625,0.24465,0.52963,0.3818229999999999,0.130848602,0.022317451,20.9,20.23,15.817761000000004,14.8595,29.9879015,18.281976,0.8472885,0.8064300000000001,0.6179895000000001,0.5228960000000001,0.1404725,0.087375,0.3820105,0.2869169999999999,0.012239,0.0,40.007079,28.084317,0.7156000000000001,0.0,5.0829835,5.057159,0.1527115,0.111853,0.0075085356463456,0.5405462629332557
2821,methyl,nitro,phenyl,alkylsilane,0.5,0.5,0.14215932215,21.6561,12.1332,0.3131994195,0.250332171,3.7932455,3.680736,224.44733225,73.4678485,17,9.251388500000004,6.538674999999999,8.6909275,5.881855000000001,2.4409275000000004,1.381855,4.886057,3.096688,4.209688749999999,2.6693775,1.08468875,0.4193774999999999,0.5642775000000001,0.128555,0.5642775000000001,0.128555,0.25,0.0,0.25,0.0,0.125,0.0,0.125,0.0,27.5,19.0,0.7572631232,0.6429727255000001,0.0,-0.54,-0.7800000000000001,0.9692155,0.738431,1.1528845,0.7000000000000001,0.6411994999999999,0.582399,1.5182122020333333,627.51676775,19.1961125,0.1344279885,0.0059673849999999,40.30334299999999,25.570577,1.227285,0.45955,62.548,41.019,68.79713200000002,45.531664,5.0,3.0,0.5069724165,0.490278599,0.7271187727,0.5097214010000001,0.1124122275,6.9230000000000005e-06,44.5549834567,3.6780645215,55.5669860625,22.315176593,99.3363457087,24.4219934885,1.0,1.0,1.133919447,0.7742805150000001,0.21224425,0.158026,0.328633,0.157266,0.2391197362,0.0,10.784999999999998,0.0,11.54202575,10.966069,27.268244,11.909051,0.903215,0.8064300000000001,0.65071075,0.5060375,0.096785,0.0,0.34928925,0.204616,0.0,0.0,36.28169025,18.9698745,0.0,0.0,2.5285795,0.0,0.096785,0.0,0.0085157921756821,0.2894452279490967
647,amino,pyrrole,cyclopropyl,alkylsilane,0.5,0.5,0.1421717698666667,18.109275,17.82055,0.1493982022,0.107669877,3.29779475,3.090735,189.7248155,181.861656,17,9.11602525,8.2320505,8.973607,7.947214,1.973607,1.947214,4.67702975,4.3540595,4.3781152500000005,3.7562305,0.91770525,0.8354105,0.5180535,0.411107,0.5180535,0.411107,0.226127,0.202254,0.226127,0.202254,0.06536375,0.03125,0.06536375,0.03125,23.5,23.0,0.8124337263,0.7833539970000002,0.0,-0.19,-0.38,0.20778825,0.148148,-6.41618925,-13.0546005,-25.936659,-51.873318000000005,0.7382758425333334,264.66300125,254.458072,0.104659821,0.025785191,36.06362075,34.0592315,0.932655,0.4490100000000001,49.042,48.044,56.056312,56.050024,4.0,4.0,0.5790391438,0.5365301745000001,0.6016964345,0.565601865,0.3454621945,0.064857048,25.986281195,24.737038525,27.1451774048,25.38398518,47.8211045342,39.799322957,1.0,1.0,0.944038695,0.8544404660000001,0.24286725,0.144378,0.57854125,0.300983,0.4006568768,0.0451621855,10.4525,0.0,12.592828250000002,10.966068,21.89816925,18.3046385,0.8997652500000001,0.7995304999999999,0.6429134999999999,0.586615,0.10023475,0.0,0.3570865,0.300788,0.0,0.0,31.8168175,27.175867,0.0,0.0,2.67418,0.0,0.10023475,0.0,0.0046289627134626,0.1839121887817291
2578,isopropyl,phenol,methyl,alkylsilane,0.5,0.5,0.1421785028833333,19.01295,11.348,0.188264894,0.000769609,4.314082,4.020392,170.745905,61.509775,17,9.667802,7.0,9.477062000000002,7.0,1.977062,1.0,4.86585775,3.25,4.528092999999999,3.25,0.8010309999999999,0.25,0.394781,0.0,0.394781,0.0,0.1505155,0.0,0.1505155,0.0,0.07525775,0.0,0.07525775,0.0,24.0,14.0,0.6233196940000001,0.2901449519999999,0.0,-0.245,-0.49,0.2925034999999999,0.0,0.911549,0.0,0.23226475,0.0,1.2106494602166666,609.98572775,21.306059,0.1670883304999999,0.028657171,37.21720675,23.534016000000005,1.35383,1.0262,49.041,24.021999999999995,56.55741625000001,30.04695,4.0,2.0,0.623520445,0.2909681019999999,0.8835971225,0.7869022760000001,0.3865688247999999,0.3235025855,27.725205912000003,3.2089181460000007,65.0039498082,3.2902576600000004,88.3774072915,3.356680573,1.0,1.0,1.025118761,0.554225614,0.21181275,0.1666669999999999,0.48527075,0.4705415,0.6035087118,0.2505384785,5.0575,0.0,11.733177499999998,8.224551,23.88775725,13.703784,0.97203675,0.9440735,0.65540125,0.6249349999999999,0.02184375,0.0,0.34459875,0.3141325,0.0061195,0.0,33.98593275000001,21.928335,0.3578,0.0,1.277202,0.0,0.02796325,0.0,0.013702446085352,0.3970218619843685
1593,difluoromethyl,fluorophenyl,methoxy,alkylsilane,0.5,0.5,0.1421794582333333,17.17025,12.932999999999998,0.492300639,0.455731993,3.798491,3.746418,149.804437,76.211433,17,8.594578999999998,7.707107,7.86259725,7.408248,2.11259725,1.4082480000000002,4.33491,3.707107,3.7208605,3.408248,0.8458605,0.408248,0.41337925,0.102062,0.41337925,0.102062,0.14862275,0.0,0.14862275,0.0,0.0743114999999999,0.0,0.0743114999999999,0.0,27.0,20.0,0.974034916,0.967653554,0.0,-0.2675,-0.495,0.5307352500000001,0.073424,1.37874175,0.96,-12.805105749999996,-27.04,1.357741233016667,328.003741,27.435741000000004,0.1420306988,0.0458147835,36.0367355,28.647561,0.98268,0.2626,61.28375,40.02100000000001,67.04125375,46.041865,4.5,3.0,0.2206204775,0.196879129,0.8740253742,0.7845546455,0.2691270335,0.191266484,26.358568310199995,4.046963283,71.8802390163,19.804779311,95.7680903617,20.555360564,1.5,1.0,1.1119836875000002,0.8324305179999999,0.2729694999999999,0.136525,0.7358089999999998,0.4716179999999999,0.4764898162,0.3920474165,4.615000000000001,0.0,17.974493499999998,13.648531,16.5204705,4.736863,0.75500175,0.6852005,0.4112925,0.175197,0.1868395,0.175197,0.5887074999999999,0.352612,0.0581589999999999,0.0,27.233347250000005,22.300456,1.6003740000000002,0.0,5.66124275,4.736863,0.24499825,0.175197,0.0042865737802721,0.1898185252030239
1908,ethylene,methyl,perfluoromethyl,alkylsilane,0.5,0.5,0.1421798440666666,12.66925,11.729,0.2367617765,0.190442224,4.115173,4.020392,80.56448725,67.509775,17,7.16367525,7.0,6.1919465,5.133893,1.6919465,1.25,3.4010147500000003,3.25,2.8459735,2.3169469999999994,0.5959734999999999,0.375,0.2801295,0.0625,0.2801295,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,0.741516748,0.637277564,0.0,-0.17,-0.21,1.03752825,0.0212044999999999,0.7592115,0.37,11.1394365,-3.053077,0.4677033032166667,28.497122,21.306059,0.1408293845,0.010815847,29.09369825,26.3716855,1.338925,1.10925,55.52175,30.0275,60.0328175,36.04695,3.75,2.5,0.5497315025000001,0.5335242920000001,0.7289937345,0.5557438010000001,0.3542666092,0.2248223575,27.3707777072,3.3505218765,31.684064964300003,9.8336543605,53.971581057,11.612928592,0.5,0.0,0.9483721528,0.6978921835,0.47438025,0.1987374999999999,0.396922,0.333333,0.6377494828,0.4782394775,0.0,0.0,12.68250925,8.224551500000002,14.87031925,13.171245,0.8981205,0.7962410000000001,0.5491600000000001,0.434527,0.0,0.0,0.4508399999999999,0.336207,0.1018795,0.0,24.464679,24.135413,3.0881495,0.0,0.0,0.0,0.1018795,0.0,0.0090101195902358,0.1296591050394628
2803,methyl,methyl,phenyl,alkylsilane,0.5,0.5,0.14219623976,21.2635,11.348,0.12555089,0.000769609,3.850564,3.680736000000001,218.4682955,61.509775000000005,17,9.482051,7.0,9.25,7.0,2.25,1.0,4.962713,3.25,4.5,3.25,1.0,0.25,0.5,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.125,0.0,0.125,0.0,25.0,14.0,0.5808492365,0.290144952,0.0,-0.39,-0.78,0.3692155,0.0,0.8028845,0.0,0.2911995,0.0,1.07996779386,628.571741,21.306059,0.1557434375,0.005967385,39.2850625,23.534016,1.51061,1.0262,54.0495,24.022,61.05477499999999,30.04695,4.5,2.0,0.7231756935,0.490278599,0.745006685,0.5097214010000001,0.2248209935,6.923e-06,44.320410269,3.2089181460000007,46.054526596,3.2902576600000004,88.803689251,3.356680573,1.0,1.0,1.0238919965,0.554225614,0.1623465,0.158026,0.328633,0.157266,0.4782394725,0.0,0.0,0.0,9.59531,8.224551,28.165610500000003,13.703784000000002,1.0,1.0,0.7101594999999999,0.624935,0.0,0.0,0.2898405,0.204616,0.0,0.0,37.7609205,21.928335,0.0,0.0,0.0,0.0,0.0,0.0,0.0137231016275708,0.1491036021704206
